country,city,aqi_value,aqi_category,co_aqi,co_category,ozone_aqi,ozone_category,no2_aqi,no2_category,pm25_aqi,pm25_category
Brazil,Xanxere,16.00,Good,0.00,Good,16.00,Good,0.00,Good,14.00,Good
China,Xiamen,122.00,Unhealthy for Sensitive Groups,3.00,Good,93.00,Moderate,6.00,Good,122.00,Unhealthy for Sensitive Groups
China,Xiantao,133.00,Unhealthy for Sensitive Groups,4.00,Good,133.00,Unhealthy for Sensitive Groups,4.00,Good,122.00,Unhealthy for Sensitive Groups
China,Xiongzhou,95.00,Moderate,3.00,Good,46.00,Good,2.00,Good,95.00,Moderate
China,Yanliang,203.00,Very Unhealthy,4.00,Good,203.00,Very Unhealthy,6.00,Good,139.00,Unhealthy for Sensitive Groups
Thailand,Yasothon,58.00,Moderate,0.00,Good,31.00,Good,0.00,Good,58.00,Moderate
Russian Federation,Yegorlykskaya,39.00,Good,1.00,Good,39.00,Good,0.00,Good,21.00,Good
India,Yellandu,124.00,Unhealthy for Sensitive Groups,1.00,Good,36.00,Good,0.00,Good,124.00,Unhealthy for Sensitive Groups
Ghana,Yendi,50.00,Good,2.00,Good,9.00,Good,1.00,Good,50.00,Good
Armenia,Yerevan,52.00,Moderate,1.00,Good,37.00,Good,0.00,Good,52.00,Moderate
China,Yishui,155.00,Unhealthy,2.00,Good,155.00,Unhealthy,1.00,Good,83.00,Moderate
Chile,Yumbel,45.00,Good,1.00,Good,16.00,Good,4.00,Good,45.00,Good
Russian Federation,Zaprudnya,30.00,Good,1.00,Good,30.00,Good,0.00,Good,18.00,Good
Germany,Zella Mehlis,28.00,Good,0.00,Good,27.00,Good,2.00,Good,28.00,Good
China,Zhaoyang,198.00,Unhealthy,4.00,Good,198.00,Unhealthy,5.00,Good,128.00,Unhealthy for Sensitive Groups
China,Zhenjiang,181.00,Unhealthy,5.00,Good,181.00,Unhealthy,11.00,Good,151.00,Unhealthy
Poland,Zlocieniec,33.00,Good,1.00,Good,29.00,Good,1.00,Good,33.00,Good
Austria,Zwettl,58.00,Moderate,1.00,Good,31.00,Good,2.00,Good,58.00,Moderate
Portugal,Vila Nova De Gaia,36.00,Good,1.00,Good,24.00,Good,4.00,Good,36.00,Good
Guatemala,Villa Nueva,79.00,Moderate,3.00,Good,8.00,Good,10.00,Good,79.00,Moderate
Mexico,Villa Union,105.00,Unhealthy for Sensitive Groups,2.00,Good,8.00,Good,3.00,Good,105.00,Unhealthy for Sensitive Groups
France,Villefranche Sur Saone,42.00,Good,1.00,Good,27.00,Good,1.00,Good,42.00,Good
Russian Federation,Vorsma,47.00,Good,1.00,Good,34.00,Good,1.00,Good,47.00,Good
Bulgaria,Vraca,82.00,Moderate,1.00,Good,41.00,Good,2.00,Good,82.00,Moderate
South Africa,Vredefort,198.00,Unhealthy,22.00,Good,10.00,Good,15.00,Good,198.00,Unhealthy
Russian Federation,Vyatskiye Polyany,29.00,Good,1.00,Good,29.00,Good,1.00,Good,12.00,Good
Thailand,Wang Noi,60.00,Moderate,1.00,Good,30.00,Good,1.00,Good,60.00,Moderate
United States of America,Wareham,36.00,Good,1.00,Good,36.00,Good,3.00,Good,36.00,Good
Georgia,Marneuli,54.00,Moderate,1.00,Good,35.00,Good,0.00,Good,54.00,Moderate
,Martaban,52.00,Moderate,0.00,Good,21.00,Good,0.00,Good,52.00,Moderate
Iran (Islamic Republic of),Marv Dasht,93.00,Moderate,1.00,Good,57.00,Moderate,0.00,Good,93.00,Moderate
United States of America,Massillon,51.00,Moderate,1.00,Good,31.00,Good,8.00,Good,51.00,Moderate
United States of America,Maumee,50.00,Good,1.00,Good,23.00,Good,9.00,Good,50.00,Good
India,Mavelikara,62.00,Moderate,1.00,Good,28.00,Good,0.00,Good,62.00,Moderate
Spain,Medina Del Campo,26.00,Good,0.00,Good,26.00,Good,2.00,Good,25.00,Good
Pakistan,Mehar,160.00,Unhealthy,1.00,Good,49.00,Good,0.00,Good,160.00,Unhealthy
Belgium,Menen,38.00,Good,1.00,Good,26.00,Good,3.00,Good,38.00,Good
United States of America,Menlo Park,55.00,Moderate,1.00,Good,22.00,Good,10.00,Good,55.00,Moderate
United States of America,Meriden,56.00,Moderate,1.00,Good,46.00,Good,4.00,Good,56.00,Moderate
Germany,Miesbach,32.00,Good,0.00,Good,28.00,Good,1.00,Good,32.00,Good
Poland,Milicz,34.00,Good,1.00,Good,31.00,Good,1.00,Good,34.00,Good
Ethiopia,Mizan Teferi,67.00,Moderate,1.00,Good,11.00,Good,0.00,Good,67.00,Moderate
Norway,Mo I Rana,25.00,Good,0.00,Good,25.00,Good,0.00,Good,9.00,Good
Romania,Moinesti,62.00,Moderate,1.00,Good,42.00,Good,0.00,Good,62.00,Moderate
,Mont Dore,28.00,Good,0.00,Good,28.00,Good,0.00,Good,6.00,Good
Czechia,Moravska Trebova,30.00,Good,0.00,Good,30.00,Good,1.00,Good,28.00,Good
Brazil,Moreno,51.00,Moderate,1.00,Good,14.00,Good,4.00,Good,51.00,Moderate
Brazil,Morro Agudo,63.00,Moderate,1.00,Good,5.00,Good,3.00,Good,63.00,Moderate
Germany,Morsbach,35.00,Good,1.00,Good,35.00,Good,1.00,Good,27.00,Good
United States of America,Mount Clemens,46.00,Good,1.00,Good,31.00,Good,7.00,Good,46.00,Good
Brazil,Mozarlandia,19.00,Good,1.00,Good,9.00,Good,0.00,Good,19.00,Good
United Republic of Tanzania,Msowero,38.00,Good,1.00,Good,15.00,Good,0.00,Good,38.00,Good
China,Mudanjiang,38.00,Good,1.00,Good,38.00,Good,0.00,Good,25.00,Good
Zimbabwe,Mutoko,52.00,Moderate,2.00,Good,13.00,Good,0.00,Good,52.00,Moderate
Netherlands,Naaldwijk,38.00,Good,1.00,Good,27.00,Good,4.00,Good,38.00,Good
Zambia,Nakambala,36.00,Good,1.00,Good,20.00,Good,0.00,Good,36.00,Good
Thailand,Nam Som,44.00,Good,0.00,Good,22.00,Good,0.00,Good,44.00,Good
,Nanao,39.00,Good,1.00,Good,39.00,Good,0.00,Good,19.00,Good
United Kingdom of Great Britain and Northern Ireland,Frome,46.00,Good,1.00,Good,21.00,Good,4.00,Good,46.00,Good
Romania,Galati,39.00,Good,1.00,Good,38.00,Good,0.00,Good,39.00,Good
Italy,Galatone,55.00,Moderate,1.00,Good,55.00,Moderate,2.00,Good,18.00,Good
United States of America,Galesburg,41.00,Good,1.00,Good,30.00,Good,5.00,Good,41.00,Good
Philippines,General Emilio Aguinaldo,48.00,Good,0.00,Good,24.00,Good,0.00,Good,48.00,Good
Italy,Genzano Di Roma,41.00,Good,1.00,Good,41.00,Good,3.00,Good,22.00,Good
United States of America,Eugene,32.00,Good,1.00,Good,27.00,Good,4.00,Good,32.00,Good
Philippines,Eustaquio Lopez,62.00,Moderate,1.00,Good,18.00,Good,0.00,Good,62.00,Moderate
United States of America,Evergreen Park,58.00,Moderate,2.00,Good,30.00,Good,13.00,Good,58.00,Moderate
Germany,Falkensee,37.00,Good,0.00,Good,33.00,Good,1.00,Good,37.00,Good
United States of America,Farmington,44.00,Good,1.00,Good,38.00,Good,3.00,Good,44.00,Good
Brazil,Farroupilha,30.00,Good,1.00,Good,16.00,Good,2.00,Good,30.00,Good
India,Fatwa,176.00,Unhealthy,4.00,Good,155.00,Unhealthy,1.00,Good,176.00,Unhealthy
India,Feroke,70.00,Moderate,0.00,Good,24.00,Good,0.00,Good,70.00,Moderate
Albania,Fier,52.00,Moderate,1.00,Good,40.00,Good,2.00,Good,52.00,Moderate
United Kingdom of Great Britain and Northern Ireland,Fleet,52.00,Moderate,1.00,Good,27.00,Good,6.00,Good,52.00,Moderate
United States of America,Floral Park,66.00,Moderate,2.00,Good,17.00,Good,20.00,Good,66.00,Moderate
Italy,Formigine,63.00,Moderate,1.00,Good,30.00,Good,5.00,Good,63.00,Moderate
India,Arumbavur,72.00,Moderate,1.00,Good,39.00,Good,1.00,Good,72.00,Moderate
Germany,Asperg,28.00,Good,1.00,Good,28.00,Good,2.00,Good,27.00,Good
Japan,Atami,42.00,Good,1.00,Good,42.00,Good,1.00,Good,36.00,Good
United States of America,Atchison,60.00,Moderate,2.00,Good,27.00,Good,8.00,Good,60.00,Moderate
United Kingdom of Great Britain and Northern Ireland,Atherton,48.00,Good,0.00,Good,30.00,Good,1.00,Good,48.00,Good
United States of America,Attleboro,68.00,Moderate,1.00,Good,44.00,Good,5.00,Good,68.00,Moderate
Belgium,Aubange,30.00,Good,1.00,Good,28.00,Good,3.00,Good,30.00,Good
Jordan,Aydun,88.00,Moderate,1.00,Good,62.00,Moderate,2.00,Good,88.00,Moderate
Malaysia,Ayer Itam,54.00,Moderate,1.00,Good,47.00,Good,0.00,Good,54.00,Moderate
Greece,Ayia Paraskevi,66.00,Moderate,1.00,Good,42.00,Good,4.00,Good,66.00,Moderate
Russian Federation,Babayurt,53.00,Moderate,1.00,Good,41.00,Good,0.00,Good,53.00,Moderate
Germany,Bad Freienwalde,36.00,Good,1.00,Good,36.00,Good,1.00,Good,25.00,Good
Germany,Bad Salzungen,34.00,Good,1.00,Good,34.00,Good,2.00,Good,33.00,Good
Germany,Baden Baden,34.00,Good,0.00,Good,34.00,Good,1.00,Good,27.00,Good
Philippines,Bagabag,46.00,Good,1.00,Good,24.00,Good,0.00,Good,46.00,Good
Afghanistan,Baglan,72.00,Moderate,1.00,Good,44.00,Good,0.00,Good,72.00,Moderate
India,Bagra,184.00,Unhealthy,1.00,Good,78.00,Moderate,1.00,Good,184.00,Unhealthy
India,Baihar,152.00,Unhealthy,0.00,Good,38.00,Good,0.00,Good,152.00,Unhealthy
Russian Federation,Balakovo,65.00,Moderate,1.00,Good,35.00,Good,0.00,Good,65.00,Moderate
Senegal,Bambey,159.00,Unhealthy,2.00,Good,25.00,Good,3.00,Good,159.00,Unhealthy
Thailand,Ban Phaeo,54.00,Moderate,0.00,Good,21.00,Good,0.00,Good,54.00,Moderate
Thailand,Bang Bo,67.00,Moderate,1.00,Good,24.00,Good,1.00,Good,67.00,Moderate
India,Banga,324.00,Hazardous,2.00,Good,150.00,Unhealthy,1.00,Good,324.00,Hazardous
Central African Republic,Bangassou,62.00,Moderate,2.00,Good,8.00,Good,0.00,Good,62.00,Moderate
India,Bar Bigha,290.00,Very Unhealthy,2.00,Good,99.00,Moderate,1.00,Good,283.00,Very Unhealthy
Russian Federation,Barabinsk,39.00,Good,1.00,Good,39.00,Good,0.00,Good,35.00,Good
Italy,Bareggio,34.00,Good,1.00,Good,34.00,Good,2.00,Good,20.00,Good
South Africa,Barkly West,29.00,Good,0.00,Good,21.00,Good,0.00,Good,29.00,Good
Brazil,Barra De Sao Francisco,30.00,Good,1.00,Good,4.00,Good,2.00,Good,30.00,Good
Brazil,Barras,36.00,Good,1.00,Good,5.00,Good,2.00,Good,36.00,Good
Guyana,Bartica,60.00,Moderate,1.00,Good,12.00,Good,0.00,Good,60.00,Moderate
United States of America,Bartow,51.00,Moderate,1.00,Good,10.00,Good,15.00,Good,51.00,Moderate
Germany,Bassum,35.00,Good,1.00,Good,35.00,Good,2.00,Good,25.00,Good
,Bata,60.00,Moderate,1.00,Good,26.00,Good,0.00,Good,60.00,Moderate
Malaysia,Batu Arang,58.00,Moderate,1.00,Good,41.00,Good,1.00,Good,58.00,Moderate
Iraq,Bayji,100.00,Unhealthy for Sensitive Groups,1.00,Good,82.00,Moderate,0.00,Good,100.00,Unhealthy for Sensitive Groups
United Kingdom of Great Britain and Northern Ireland,Bearsden,61.00,Moderate,0.00,Good,31.00,Good,0.00,Good,61.00,Moderate
United Kingdom of Great Britain and Northern Ireland,Bedworth,29.00,Good,0.00,Good,29.00,Good,2.00,Good,22.00,Good
India,Begun,156.00,Unhealthy,0.00,Good,42.00,Good,0.00,Good,156.00,Unhealthy
Serbia,Bela Crkva,47.00,Good,1.00,Good,39.00,Good,1.00,Good,47.00,Good
United States of America,Bell,119.00,Unhealthy for Sensitive Groups,4.00,Good,6.00,Good,36.00,Good,119.00,Unhealthy for Sensitive Groups
Colombia,Bello,106.00,Unhealthy for Sensitive Groups,3.00,Good,2.00,Good,8.00,Good,106.00,Unhealthy for Sensitive Groups
Australia,Bendigo,23.00,Good,0.00,Good,23.00,Good,0.00,Good,23.00,Good
,Benidorm,37.00,Good,1.00,Good,37.00,Good,1.00,Good,25.00,Good
South Africa,Benoni,123.00,Unhealthy for Sensitive Groups,15.00,Good,20.00,Good,12.00,Good,123.00,Unhealthy for Sensitive Groups
Brazil,Bento Goncalves,41.00,Good,1.00,Good,12.00,Good,3.00,Good,41.00,Good
Netherlands,Bergen,39.00,Good,1.00,Good,28.00,Good,4.00,Good,39.00,Good
France,Bergerac,42.00,Good,1.00,Good,34.00,Good,1.00,Good,42.00,Good
India,Bettiah,265.00,Very Unhealthy,4.00,Good,166.00,Unhealthy,1.00,Good,265.00,Very Unhealthy
Pakistan,Bhan,161.00,Unhealthy,1.00,Good,40.00,Good,0.00,Good,161.00,Unhealthy
Bangladesh,Bhandaria,156.00,Unhealthy,1.00,Good,45.00,Good,1.00,Good,156.00,Unhealthy
India,Bhasawar,194.00,Unhealthy,1.00,Good,43.00,Good,0.00,Good,194.00,Unhealthy
India,Bhor,111.00,Unhealthy for Sensitive Groups,0.00,Good,23.00,Good,0.00,Good,111.00,Unhealthy for Sensitive Groups
India,Bhuban,162.00,Unhealthy,1.00,Good,92.00,Moderate,2.00,Good,162.00,Unhealthy
Poland,Bialogard,33.00,Good,0.00,Good,33.00,Good,0.00,Good,26.00,Good
France,Biarritz,40.00,Good,0.00,Good,40.00,Good,0.00,Good,23.00,Good
India,Bid,151.00,Unhealthy,1.00,Good,35.00,Good,0.00,Good,151.00,Unhealthy
Iran (Islamic Republic of),Bijar,88.00,Moderate,1.00,Good,46.00,Good,0.00,Good,88.00,Moderate
India,Bilimora,136.00,Unhealthy for Sensitive Groups,0.00,Good,21.00,Good,0.00,Good,136.00,Unhealthy for Sensitive Groups
Turkey,Bingol,79.00,Moderate,1.00,Good,44.00,Good,0.00,Good,79.00,Moderate
China,Changying,153.00,Unhealthy,2.00,Good,153.00,Unhealthy,2.00,Good,100.00,Unhealthy for Sensitive Groups
France,Charleville Mezieres,32.00,Good,1.00,Good,27.00,Good,2.00,Good,32.00,Good
India,Chhachhrauli,500.00,Hazardous,1.00,Good,82.00,Moderate,1.00,Good,461.00,Hazardous
Pakistan,Chiniot,275.00,Very Unhealthy,2.00,Good,112.00,Unhealthy for Sensitive Groups,1.00,Good,275.00,Very Unhealthy
Zimbabwe,Chiredzi,36.00,Good,1.00,Good,18.00,Good,0.00,Good,36.00,Good
Romania,Chitila,41.00,Good,1.00,Good,41.00,Good,1.00,Good,33.00,Good
India,Chodavaram,153.00,Unhealthy,1.00,Good,47.00,Good,0.00,Good,153.00,Unhealthy
Mozambique,Chokwe,19.00,Good,0.00,Good,19.00,Good,0.00,Good,18.00,Good
Honduras,Choluteca,83.00,Moderate,3.00,Good,3.00,Good,11.00,Good,83.00,Moderate
India,Chopan,201.00,Very Unhealthy,1.00,Good,47.00,Good,0.00,Good,201.00,Very Unhealthy
India,Chunar,275.00,Very Unhealthy,1.00,Good,49.00,Good,1.00,Good,245.00,Very Unhealthy
Poland,Ciechanow,37.00,Good,1.00,Good,37.00,Good,0.00,Good,21.00,Good
Belgium,Ciney,43.00,Good,1.00,Good,23.00,Good,5.00,Good,43.00,Good
United States of America,Circleville,41.00,Good,1.00,Good,35.00,Good,6.00,Good,41.00,Good
Bulgaria,Cirpan,51.00,Moderate,1.00,Good,39.00,Good,1.00,Good,51.00,Moderate
Spain,Ciudad Real,30.00,Good,0.00,Good,30.00,Good,1.00,Good,29.00,Good
South Africa,Clocolan,103.00,Unhealthy for Sensitive Groups,5.00,Good,14.00,Good,3.00,Good,103.00,Unhealthy for Sensitive Groups
India,Birmitrapur,165.00,Unhealthy,1.00,Good,109.00,Unhealthy for Sensitive Groups,1.00,Good,165.00,Unhealthy
India,Birpur,204.00,Very Unhealthy,3.00,Good,100.00,Unhealthy for Sensitive Groups,0.00,Good,204.00,Very Unhealthy
Ukraine,Bobrovytsya,56.00,Moderate,1.00,Good,31.00,Good,0.00,Good,56.00,Moderate
Germany,Bogen,29.00,Good,0.00,Good,29.00,Good,1.00,Good,24.00,Good
Russian Federation,Bogotol,50.00,Good,1.00,Good,43.00,Good,0.00,Good,50.00,Good
Czechia,Bohumin,46.00,Good,1.00,Good,26.00,Good,2.00,Good,46.00,Good
Chad,Bokoro,46.00,Good,2.00,Good,11.00,Good,0.00,Good,46.00,Good
Brazil,Bom Jesus,24.00,Good,0.00,Good,11.00,Good,0.00,Good,24.00,Good
India,Bombay,155.00,Unhealthy,2.00,Good,25.00,Good,1.00,Good,155.00,Unhealthy
Belgium,Borsbeek,38.00,Good,1.00,Good,28.00,Good,4.00,Good,38.00,Good
Philippines,Botolan,70.00,Moderate,0.00,Good,25.00,Good,0.00,Good,70.00,Moderate
Portugal,Bougado,36.00,Good,1.00,Good,23.00,Good,4.00,Good,36.00,Good
Germany,Bramsche,31.00,Good,1.00,Good,29.00,Good,3.00,Good,31.00,Good
Germany,Bruchsal,35.00,Good,0.00,Good,35.00,Good,1.00,Good,26.00,Good
Brazil,Brumadinho,128.00,Unhealthy for Sensitive Groups,5.00,Good,0.00,Good,8.00,Good,128.00,Unhealthy for Sensitive Groups
Colombia,Bugalagrande,61.00,Moderate,2.00,Good,4.00,Good,4.00,Good,61.00,Moderate
United Republic of Tanzania,Bugene,52.00,Moderate,2.00,Good,17.00,Good,0.00,Good,52.00,Moderate
Russian Federation,Buinsk,29.00,Good,1.00,Good,29.00,Good,0.00,Good,18.00,Good
Democratic Republic of the Congo,Bukama,58.00,Moderate,1.00,Good,23.00,Good,0.00,Good,58.00,Moderate
Germany,Burladingen,30.00,Good,0.00,Good,30.00,Good,1.00,Good,29.00,Good
United States of America,Burr Ridge,78.00,Moderate,2.00,Good,11.00,Good,27.00,Good,78.00,Moderate
United Republic of Tanzania,Buseresere,45.00,Good,1.00,Good,14.00,Good,0.00,Good,45.00,Good
Philippines,Butuan,54.00,Moderate,1.00,Good,19.00,Good,0.00,Good,54.00,Moderate
Philippines,Calatagan,50.00,Good,0.00,Good,23.00,Good,0.00,Good,50.00,Good
Mexico,Calimaya,70.00,Moderate,1.00,Good,7.00,Good,9.00,Good,70.00,Moderate
Brazil,Cambara,41.00,Good,1.00,Good,11.00,Good,1.00,Good,41.00,Good
Italy,Cameri,35.00,Good,1.00,Good,35.00,Good,1.00,Good,19.00,Good
Brazil,Campina Verde,37.00,Good,1.00,Good,6.00,Good,1.00,Good,37.00,Good
Ghana,Cape Coast,81.00,Moderate,1.00,Good,21.00,Good,0.00,Good,81.00,Moderate
Chile,Carahue,47.00,Good,1.00,Good,7.00,Good,7.00,Good,47.00,Good
Italy,Carrara,58.00,Moderate,1.00,Good,39.00,Good,1.00,Good,58.00,Moderate
Italy,Castel San Pietro Terme,54.00,Moderate,1.00,Good,36.00,Good,2.00,Good,54.00,Moderate
Ecuador,Catacocha,45.00,Good,1.00,Good,4.00,Good,3.00,Good,45.00,Good
Italy,Cavarzere,50.00,Good,1.00,Good,32.00,Good,4.00,Good,50.00,Good
Italy,Cefalu,50.00,Good,1.00,Good,43.00,Good,0.00,Good,50.00,Good
Germany,Celle,37.00,Good,1.00,Good,37.00,Good,1.00,Good,23.00,Good
Mexico,Coalcoman,37.00,Good,1.00,Good,4.00,Good,3.00,Good,37.00,Good
Argentina,Comodoro Rivadavia,11.00,Good,0.00,Good,11.00,Good,1.00,Good,4.00,Good
Mexico,Comonfort,45.00,Good,1.00,Good,15.00,Good,4.00,Good,45.00,Good
United States of America,Coral Hills,60.00,Moderate,1.00,Good,41.00,Good,5.00,Good,60.00,Moderate
United States of America,Coralville,66.00,Moderate,2.00,Good,7.00,Good,17.00,Good,66.00,Moderate
Spain,Coria,37.00,Good,1.00,Good,27.00,Good,2.00,Good,37.00,Good
Peru,Corrales,14.00,Good,0.00,Good,6.00,Good,1.00,Good,14.00,Good
Mexico,Cortazar,50.00,Good,1.00,Good,12.00,Good,4.00,Good,50.00,Good
Netherlands,Cranendonck,37.00,Good,1.00,Good,32.00,Good,3.00,Good,37.00,Good
Cuba,Cumanayagua,86.00,Moderate,1.00,Good,21.00,Good,2.00,Good,86.00,Moderate
Poland,Czluchow,34.00,Good,0.00,Good,34.00,Good,0.00,Good,28.00,Good
Viet Nam,Da Lat,44.00,Good,0.00,Good,19.00,Good,0.00,Good,44.00,Good
China,Dafeng,127.00,Unhealthy for Sensitive Groups,3.00,Good,127.00,Unhealthy for Sensitive Groups,3.00,Good,116.00,Unhealthy for Sensitive Groups
Spain,A Coruna,27.00,Good,0.00,Good,27.00,Good,1.00,Good,20.00,Good
Belgium,Aalter,36.00,Good,1.00,Good,25.00,Good,3.00,Good,36.00,Good
Iran (Islamic Republic of),Abdanan,112.00,Unhealthy for Sensitive Groups,1.00,Good,45.00,Good,0.00,Good,112.00,Unhealthy for Sensitive Groups
Russian Federation,Abinsk,43.00,Good,1.00,Good,43.00,Good,1.00,Good,16.00,Good
Iran (Islamic Republic of),Abyek,133.00,Unhealthy for Sensitive Groups,2.00,Good,133.00,Unhealthy for Sensitive Groups,2.00,Good,123.00,Unhealthy for Sensitive Groups
Turkey,Adana,55.00,Moderate,1.00,Good,41.00,Good,0.00,Good,55.00,Moderate
El Salvador,Aguilares,146.00,Unhealthy for Sensitive Groups,5.00,Good,0.00,Good,13.00,Good,146.00,Unhealthy for Sensitive Groups
Armenia,Alaverdi,53.00,Moderate,1.00,Good,31.00,Good,0.00,Good,53.00,Moderate
Brazil,Alegrete,27.00,Good,0.00,Good,12.00,Good,1.00,Good,27.00,Good
United States of America,Aloha,33.00,Good,1.00,Good,19.00,Good,9.00,Good,33.00,Good
China,Altay,53.00,Moderate,0.00,Good,37.00,Good,0.00,Good,53.00,Moderate
United States of America,Altoona,40.00,Good,1.00,Good,38.00,Good,3.00,Good,40.00,Good
United States of America,Altus,48.00,Good,1.00,Good,24.00,Good,2.00,Good,48.00,Good
France,Amboise,40.00,Good,1.00,Good,24.00,Good,2.00,Good,40.00,Good
France,Amiens,40.00,Good,1.00,Good,20.00,Good,3.00,Good,40.00,Good
Mexico,Amozoc,164.00,Unhealthy,4.00,Good,1.00,Good,9.00,Good,164.00,Unhealthy
India,Amreli,154.00,Unhealthy,0.00,Good,31.00,Good,0.00,Good,154.00,Unhealthy
Belgium,Andenne,35.00,Good,1.00,Good,30.00,Good,3.00,Good,35.00,Good
Thailand,Ang Thong,47.00,Good,0.00,Good,23.00,Good,0.00,Good,47.00,Good
Côte d'Ivoire,Anyama,138.00,Unhealthy for Sensitive Groups,3.00,Good,16.00,Good,3.00,Good,138.00,Unhealthy for Sensitive Groups
Thailand,Ao Luk,33.00,Good,0.00,Good,19.00,Good,0.00,Good,33.00,Good
Spain,Aranda De Duero,26.00,Good,0.00,Good,24.00,Good,1.00,Good,26.00,Good
Trinidad and Tobago,Arima,63.00,Moderate,1.00,Good,22.00,Good,5.00,Good,63.00,Moderate
United States of America,Sherman,53.00,Moderate,1.00,Good,23.00,Good,5.00,Good,53.00,Moderate
China,Shishou,152.00,Unhealthy,3.00,Good,152.00,Unhealthy,2.00,Good,91.00,Moderate
Pakistan,Shorkot,208.00,Very Unhealthy,2.00,Good,151.00,Unhealthy,1.00,Good,208.00,Very Unhealthy
India,Sijua,185.00,Unhealthy,1.00,Good,78.00,Moderate,1.00,Good,185.00,Unhealthy
Denmark,Silkeborg,40.00,Good,0.00,Good,31.00,Good,2.00,Good,40.00,Good
India,Silvassa,134.00,Unhealthy for Sensitive Groups,0.00,Good,23.00,Good,0.00,Good,134.00,Unhealthy for Sensitive Groups
Indonesia,Sindang,69.00,Moderate,1.00,Good,41.00,Good,0.00,Good,69.00,Moderate
Côte d'Ivoire,Sinfra,48.00,Good,1.00,Good,17.00,Good,0.00,Good,48.00,Good
Belgium,Sint Pieters Leeuw,41.00,Good,1.00,Good,24.00,Good,4.00,Good,41.00,Good
India,Sisauli,500.00,Hazardous,1.00,Good,47.00,Good,1.00,Good,500.00,Hazardous
Cambodia,Sisophon,39.00,Good,0.00,Good,25.00,Good,0.00,Good,39.00,Good
Denmark,Skanderborg,36.00,Good,0.00,Good,33.00,Good,1.00,Good,36.00,Good
Ukraine,Smila,51.00,Moderate,1.00,Good,43.00,Good,0.00,Good,51.00,Moderate
Colombia,Socorro,56.00,Moderate,2.00,Good,3.00,Good,4.00,Good,56.00,Moderate
Spain,Socuellamos,28.00,Good,1.00,Good,28.00,Good,1.00,Good,25.00,Good
Czechia,Sokolov,32.00,Good,0.00,Good,32.00,Good,1.00,Good,25.00,Good
Turkey,Soma,49.00,Good,1.00,Good,49.00,Good,1.00,Good,30.00,Good
China,Songling,140.00,Unhealthy for Sensitive Groups,3.00,Good,97.00,Moderate,7.00,Good,140.00,Unhealthy for Sensitive Groups
Togo,Sotouboua,77.00,Moderate,1.00,Good,19.00,Good,0.00,Good,77.00,Moderate
United States of America,South Valley,73.00,Moderate,1.00,Good,28.00,Good,4.00,Good,73.00,Moderate
United States of America,Southern Pines,61.00,Moderate,1.00,Good,33.00,Good,3.00,Good,61.00,Moderate
United States of America,Spartanburg,69.00,Moderate,2.00,Good,23.00,Good,9.00,Good,69.00,Moderate
United Kingdom of Great Britain and Northern Ireland,Stevenage,27.00,Good,0.00,Good,27.00,Good,2.00,Good,26.00,Good
Austria,Stockerau,38.00,Good,1.00,Good,30.00,Good,1.00,Good,38.00,Good
Russian Federation,Strunino,31.00,Good,1.00,Good,31.00,Good,0.00,Good,29.00,Good
Ukraine,Stryy,55.00,Moderate,1.00,Good,30.00,Good,1.00,Good,55.00,Moderate
Germany,Sulz,31.00,Good,0.00,Good,31.00,Good,1.00,Good,27.00,Good
Ecuador,Rosa Zarate,46.00,Good,1.00,Good,14.00,Good,2.00,Good,46.00,Good
Russian Federation,Roslavl,65.00,Moderate,1.00,Good,23.00,Good,2.00,Good,65.00,Moderate
France,Royan,38.00,Good,0.00,Good,38.00,Good,0.00,Good,19.00,Good
Germany,Rudersberg,29.00,Good,1.00,Good,29.00,Good,2.00,Good,27.00,Good
Brazil,Russas,28.00,Good,0.00,Good,14.00,Good,1.00,Good,28.00,Good
Romania,Sabaoani,68.00,Moderate,1.00,Good,45.00,Good,0.00,Good,68.00,Moderate
Mexico,Sahuayo,39.00,Good,1.00,Good,8.00,Good,3.00,Good,39.00,Good
United States of America,Saint Joseph,51.00,Moderate,1.00,Good,29.00,Good,7.00,Good,51.00,Moderate
France,Saint Genis Laval,38.00,Good,1.00,Good,32.00,Good,1.00,Good,38.00,Good
France,Sainte Anne,99.00,Moderate,0.00,Good,25.00,Good,0.00,Good,99.00,Moderate
Azerbaijan,Salyan,65.00,Moderate,1.00,Good,40.00,Good,0.00,Good,65.00,Moderate
Ukraine,Sambir,54.00,Moderate,1.00,Good,31.00,Good,1.00,Good,54.00,Moderate
Spain,San Andres Del Rabanedo,34.00,Good,0.00,Good,25.00,Good,3.00,Good,34.00,Good
Guatemala,San Juan Chamelco,65.00,Moderate,2.00,Good,11.00,Good,5.00,Good,65.00,Moderate
Peru,San Vicente De Canete,25.00,Good,0.00,Good,20.00,Good,1.00,Good,25.00,Good
Sweden,Sandviken,35.00,Good,0.00,Good,35.00,Good,0.00,Good,22.00,Good
United States of America,Sanger,56.00,Moderate,2.00,Good,10.00,Good,15.00,Good,56.00,Moderate
Spain,Sanlucar De Barrameda,53.00,Moderate,1.00,Good,27.00,Good,4.00,Good,53.00,Moderate
Brazil,Santa Fe Do Sul,55.00,Moderate,1.00,Good,13.00,Good,0.00,Good,55.00,Moderate
